word,Pos,Neu,Neg
time,16,36,15
stage,2,6,1
minister,2,6,1
research,6,18,0
defence,4,12,0
slv,18,21,2
missiles,0,5,1
launch,11,41,7
technology,7,6,3
work,30,25,7
rocket,7,27,4
rameswaram,4,10,1
sarabhai,2,2,0
development,15,17,3
project,10,28,4
space,6,21,0
brahm,9,6,2
