word,Pos,Neu,Neg
government,52,122,26
history,80,100,20
communism,83,85,32
religion,73,105,22
politics,51,122,27
animals,59,111,30
music,52,133,15
love,78,100,22
plants,47,133,20
violence,70,87,43
science,76,104,20
war,67,96,37
democracy,78,94,28
food,22,171,7
