word,Pos,Neu,Neg
government,35,90,75
history,38,112,50
communism,38,84,78
religion,35,107,58
politics,31,106,63
animals,29,105,66
music,27,139,34
love,34,118,48
plants,31,110,59
violence,36,75,89
science,35,116,49
war,34,91,75
democracy,37,89,74
food,7,176,17
