word,Pos,Neu,Neg
time,42,85,38
stage,14,35,16
minister,15,26,4
research,22,29,0
defence,20,32,4
slv,35,67,14
missiles,14,18,10
launch,28,79,16
technology,57,32,13
work,125,105,42
rocket,40,67,24
rameswaram,16,25,6
sarabhai,66,26,6
development,49,42,11
project,36,79,21
space,21,36,10
brahm,24,7,6
