word,Pos,Neu,Neg
government,189,717,83
history,304,626,59
communism,310,580,99
religion,238,682,69
politics,116,815,58
animals,182,714,93
music,166,770,53
love,262,669,58
plants,154,776,59
violence,251,601,137
science,262,657,70
war,247,634,108
democracy,249,656,84
food,77,870,42
