word,Pos,Neu,Neg
government,170,467,363
history,209,532,259
communism,206,418,376
religion,180,529,291
politics,164,524,312
animals,130,557,313
music,113,704,183
love,169,584,247
plants,148,562,290
violence,191,377,432
science,181,561,258
war,178,450,372
democracy,199,452,349
food,28,874,98
