word,Pos,Neu,Neg
government,37,146,17
history,64,126,10
communism,67,113,20
religion,49,135,16
politics,24,166,10
animals,35,146,19
music,33,156,11
love,52,137,11
plants,32,158,10
violence,53,118,29
science,51,137,12
war,51,125,24
democracy,50,132,18
food,15,179,6
