word,Pos,Neu,Neg
government,805,1860,420
history,1154,1649,282
communism,1210,1392,483
religion,1063,1663,359
politics,804,1902,379
animals,878,1765,442
music,764,2075,246
love,1212,1539,334
plants,765,2027,293
violence,1056,1342,687
science,1190,1589,306
war,1019,1508,558
democracy,1118,1526,441
food,386,2557,142
